"ID_CLIENTE";"mes";"pageviews";"microconversion"
"C0331324";"Marzo";6;0
"C0198158";"Marzo";20;1
"C0933499";"Marzo";7;0
"C0832625";"Abril";21;1
"C0346116";"Abril";11;1
"C0715267";"Abril";7;0
"C0193924";"Abril";20;1
"C0331565";"Abril";12;1
"C0054978";"Abril";6;0
"C0289578";"Marzo";4;0
"C0428473";"Abril";12;1
"C0160441";"Abril";9;0
"C0076935";"Abril";6;0
"C0746020";"Abril";5;1
"C0141658";"Marzo";5;1
"C0238095";"Marzo";6;0
"C0120911";"Marzo";7;0
"C0790586";"Abril";20;1
"C0766105";"Abril";6;0
"C0027830";"Marzo";5;0
"C0473717";"Abril";6;0
"C0759963";"Abril";19;1
"C0430835";"Abril";8;0
"C0797890";"Abril";15;1
"C0922816";"Abril";5;0
"C0686921";"Marzo";8;0
"C0551132";"Marzo";7;1
"C0360726";"Marzo";7;0
"C0350573";"Marzo";6;0
"C0302033";"Abril";12;1
"C0997833";"Marzo";6;0
"C0438969";"Abril";6;0
"C0695426";"Abril";19;1
"C0418435";"Marzo";18;1
"C0305570";"Marzo";6;0
"C0375540";"Marzo";5;0
"C0094931";"Abril";19;1
"C0696438";"Marzo";9;0
"C0513996";"Abril";7;0
"C0385594";"Marzo";9;0
"C0517026";"Marzo";7;0
"C0643917";"Marzo";6;0
"C0152689";"Abril";8;0
"C0372649";"Abril";12;1
"C0590738";"Abril";7;0
"C0552108";"Abril";10;0
"C0489128";"Abril";11;1
"C0238202";"Marzo";6;0
"C0205341";"Marzo";13;1
"C0919580";"Marzo";6;0
"C0401274";"Marzo";6;0
"C0966117";"Abril";7;0
"C0871225";"Abril";14;1
"C0233640";"Abril";6;1
"C0208274";"Marzo";7;0
"C0128870";"Marzo";13;1
"C0668680";"Abril";6;0
"C0815091";"Marzo";6;0
"C0152520";"Abril";6;0
"C0984963";"Marzo";6;0
"C0327445";"Abril";11;1
"C0689710";"Marzo";10;0
"C0970010";"Marzo";8;0
"C0900481";"Marzo";21;1
"C0570318";"Abril";5;0
"C0562940";"Marzo";7;0
"C0068467";"Abril";6;1
"C0359045";"Marzo";14;1
"C0783926";"Abril";6;1
"C0018915";"Marzo";12;1
"C0847027";"Abril";12;1
"C0207637";"Abril";6;0
"C0339811";"Marzo";7;0
"C0961239";"Abril";7;1
"C0665753";"Abril";6;1
"C0808855";"Abril";18;1
"C0298010";"Abril";7;0
"C0170674";"Abril";3;0
"C0644118";"Abril";7;0
"C0358873";"Abril";5;0
"C0204381";"Marzo";9;0
"C0952461";"Marzo";9;0
"C0314219";"Abril";9;0
"C0501261";"Marzo";9;0
"C0069329";"Marzo";13;1
"C0180566";"Abril";7;0
"C0005749";"Abril";5;0
"C0084945";"Marzo";8;0
"C0281660";"Marzo";14;1
"C0034680";"Abril";21;1
"C0377314";"Marzo";10;1
"C0752904";"Marzo";9;0
"C0848257";"Abril";8;0
"C0896914";"Abril";22;1
"C0454796";"Abril";7;1
"C0238299";"Abril";13;1
"C0143025";"Marzo";7;0
"C0729996";"Abril";8;0
"C0328607";"Abril";7;1
"C0362013";"Marzo";7;0
"C0500142";"Marzo";8;0
"C0486978";"Marzo";9;0
"C0652355";"Marzo";11;1
"C0649928";"Marzo";22;1
"C0340361";"Abril";7;0
"C0950997";"Abril";8;0
"C0929681";"Abril";10;1
"C0694919";"Abril";7;0
"C0517195";"Marzo";24;1
"C0075618";"Marzo";5;0
"C0763302";"Abril";7;0
"C0097324";"Abril";11;1
"C0802471";"Marzo";13;1
"C0613250";"Marzo";6;0
"C0622161";"Abril";8;0
"C0841986";"Marzo";12;1
"C0365406";"Marzo";11;0
"C0752507";"Marzo";14;1
"C0613565";"Marzo";7;0
"C0520503";"Abril";5;0
"C0816596";"Marzo";20;1
"C0173770";"Marzo";19;1
"C0562938";"Abril";12;1
"C0795853";"Marzo";10;0
"C0114629";"Abril";11;1
"C0284129";"Marzo";15;1
"C0746417";"Abril";20;1
"C0544968";"Abril";6;0
"C0392451";"Marzo";7;0
"C0741046";"Marzo";12;1
"C0298245";"Marzo";8;0
"C0772093";"Abril";23;1
"C0605254";"Marzo";15;1
"C0869562";"Marzo";9;0
"C0675804";"Abril";5;1
"C0307191";"Marzo";7;0
"C0165829";"Marzo";7;1
"C0717697";"Abril";7;1
"C0954911";"Marzo";5;0
"C0493024";"Abril";11;1
"C0227172";"Abril";11;1
"C0945066";"Marzo";3;0
"C0407918";"Marzo";5;0
"C0452543";"Abril";8;0
"C0728610";"Abril";14;1
"C0385960";"Abril";6;0
"C0861869";"Abril";12;1
"C0701515";"Abril";8;0
"C0271723";"Abril";7;0
"C0345111";"Abril";14;1
"C0434839";"Marzo";6;0
"C0719958";"Marzo";13;1
"C0236996";"Abril";9;0
"C0498406";"Marzo";8;0
"C0100223";"Abril";6;1
"C0635517";"Abril";5;0
"C0485772";"Abril";6;1
"C0155725";"Marzo";10;0
"C0272089";"Marzo";14;1
"C0740461";"Marzo";21;1
"C0756702";"Abril";12;1
"C0943578";"Abril";6;0
"C0865460";"Marzo";8;0
"C0536030";"Marzo";7;0
"C0717389";"Marzo";6;0
"C0257321";"Marzo";9;0
"C0127612";"Marzo";6;0
"C0203141";"Abril";14;1
"C0311984";"Marzo";7;0
"C0747946";"Marzo";8;0
"C0876585";"Abril";23;1
"C0438761";"Marzo";21;1
"C0456790";"Abril";6;0
"C0901745";"Marzo";7;0
"C0321753";"Marzo";9;0
"C0538448";"Marzo";9;0
"C0181177";"Marzo";6;0
"C0983934";"Abril";6;1
"C0515631";"Abril";6;1
"C0617115";"Marzo";10;0
"C0191960";"Marzo";9;0
"C0604006";"Abril";19;1
"C0453539";"Abril";7;1
"C0760935";"Abril";4;1
"C0711910";"Marzo";20;1
"C0604472";"Abril";7;0
"C0738470";"Abril";12;1
"C0030039";"Marzo";5;0
"C0438354";"Abril";9;0
"C0658337";"Abril";20;1
"C0519478";"Abril";14;1
"C0811181";"Marzo";8;0
"C0857409";"Abril";13;1
"C0725748";"Marzo";8;0
"C0504381";"Marzo";13;1
"C0025003";"Marzo";6;0
"C0325856";"Abril";7;0
"C0308565";"Abril";3;0
"C0894963";"Abril";19;1
"C0570749";"Marzo";9;0
"C0264703";"Marzo";7;1
"C0042677";"Marzo";11;1
"C0976270";"Abril";6;1
"C0376352";"Abril";6;1
"C0680286";"Abril";21;1
"C0249129";"Abril";6;0
"C0497257";"Marzo";6;0
"C0828576";"Abril";6;0
"C0142604";"Marzo";7;0
"C0388768";"Marzo";12;1
"C0667334";"Marzo";9;0
"C0180331";"Marzo";8;0
"C0312295";"Abril";6;0
"C0762295";"Abril";13;1
"C0718716";"Abril";9;0
"C0823643";"Marzo";6;0
"C0744599";"Marzo";14;1
"C0225112";"Marzo";6;0
"C0756414";"Marzo";12;1
"C0668259";"Abril";6;0
"C0778899";"Abril";13;1
"C0820533";"Marzo";7;1
"C0731738";"Abril";12;1
"C0422576";"Abril";8;0
"C0159320";"Marzo";8;0
"C0866103";"Marzo";6;0
"C0840000";"Abril";13;1
"C0755262";"Marzo";5;0
"C0302837";"Abril";12;1
"C0157519";"Marzo";9;0
"C0654963";"Marzo";6;0
"C0796803";"Marzo";6;1
"C0150081";"Marzo";19;1
"C0916495";"Marzo";10;0
"C0552277";"Marzo";8;0
"C0297924";"Marzo";6;0
"C0111550";"Abril";10;1
"C0887665";"Abril";6;0
"C0276909";"Abril";9;0
"C0845696";"Abril";7;1
"C0367008";"Abril";8;0
"C0268437";"Abril";13;1
"C0194946";"Marzo";11;0
"C0706934";"Abril";6;1
"C0814431";"Abril";6;0
"C0960572";"Marzo";9;0
"C0362630";"Abril";6;0
"C0692551";"Marzo";4;0
"C0665998";"Abril";7;0
"C0276775";"Abril";7;1
"C0875736";"Marzo";6;1
"C0128870";"Abril";6;0
"C0651443";"Marzo";7;1
"C0292529";"Abril";7;0
"C0235539";"Abril";8;0
"C0838732";"Marzo";7;1
"C0161780";"Abril";6;0
"C0764278";"Marzo";7;0
"C0084400";"Abril";7;0
"C0700789";"Marzo";6;0
"C0903830";"Marzo";10;0
"C0064736";"Marzo";3;0
"C0865744";"Abril";6;0
"C0455894";"Marzo";10;0
"C0560482";"Abril";6;0
"C0289205";"Marzo";11;1
"C0745781";"Marzo";6;0
"C0815608";"Marzo";3;0
"C0490611";"Marzo";6;1
"C0988232";"Marzo";22;1
"C0253030";"Marzo";8;0
"C0061223";"Marzo";8;0
"C0225301";"Marzo";12;1
"C0087196";"Marzo";8;0
"C0590272";"Abril";18;1
"C0560502";"Marzo";6;0
"C0891795";"Marzo";6;1
"C0252409";"Abril";8;0
"C0416369";"Marzo";9;0
"C0148992";"Marzo";6;0
"C0314218";"Marzo";6;0
"C0726562";"Abril";4;0
"C0066183";"Abril";9;0
"C0709872";"Abril";6;1
"C0241705";"Abril";7;0
"C0761762";"Marzo";5;1
"C0855026";"Abril";8;0
"C0156553";"Abril";20;1
"C0342665";"Marzo";8;0
"C0009496";"Marzo";7;0
"C0788376";"Marzo";13;1
"C0533149";"Marzo";5;0
"C0406275";"Marzo";8;0
"C0233002";"Abril";9;0
"C0189759";"Abril";6;0
"C0523326";"Marzo";9;0
"C0697303";"Marzo";6;1
"C0483580";"Abril";6;0
"C0298029";"Marzo";7;0
"C0372519";"Marzo";7;0
"C0415530";"Marzo";8;0
"C0809503";"Abril";9;0
"C0390813";"Abril";6;1
"C0834707";"Abril";8;0
"C0755879";"Marzo";10;0
"C0778132";"Marzo";5;0
"C0885885";"Abril";8;0
"C0693319";"Marzo";7;0
"C0705157";"Abril";8;0
"C0574384";"Abril";7;0
"C0163641";"Abril";21;1
"C0367374";"Abril";6;1
"C0985045";"Abril";6;1
"C0737919";"Abril";7;1
"C0710637";"Abril";8;0
"C0454183";"Marzo";6;0
"C0758987";"Marzo";8;0
"C0531075";"Marzo";20;1
"C0155035";"Abril";4;0
"C0381532";"Marzo";6;0
"C0996195";"Marzo";7;0
"C0031628";"Marzo";7;0
"C0544261";"Marzo";6;0
"C0483228";"Marzo";8;0
"C0407745";"Marzo";11;1
"C0338918";"Marzo";5;0
"C0901014";"Marzo";15;1
"C0628776";"Marzo";13;1
"C0325487";"Marzo";5;1
"C0405464";"Marzo";6;0
"C0835440";"Abril";13;1
"C0401283";"Marzo";7;0
"C0764409";"Abril";13;1
"C0002911";"Marzo";6;0
"C0671730";"Abril";8;0
"C0835477";"Abril";7;1
"C0279111";"Abril";7;1
"C0606555";"Abril";10;0
"C0718873";"Marzo";5;0
"C0865261";"Marzo";12;1
"C0921777";"Marzo";12;1
"C0293122";"Abril";13;1
"C0287432";"Marzo";19;1
"C0530320";"Marzo";9;0
"C0569685";"Marzo";9;0
"C0810971";"Marzo";4;0
"C0621914";"Marzo";9;0
"C0294863";"Abril";7;0
"C0802786";"Marzo";5;0
"C0764686";"Abril";22;1
"C0071141";"Abril";21;1
"C0243908";"Abril";6;0
"C0398376";"Abril";13;1
"C0129436";"Abril";19;1
"C0101627";"Abril";12;1
"C0780957";"Abril";7;0
"C0378116";"Marzo";7;0
"C0857613";"Marzo";9;0
"C0987001";"Marzo";19;1
"C0192322";"Marzo";6;0
"C0948109";"Abril";20;1
"C0889715";"Abril";7;0
"C0089231";"Marzo";13;1
"C0100517";"Abril";5;1
"C0613648";"Marzo";7;0
"C0273306";"Abril";8;0
"C0168663";"Abril";8;0
"C0116230";"Abril";12;1
"C0051644";"Abril";12;1
"C0734739";"Marzo";9;0
"C0917036";"Abril";12;1
"C0491778";"Marzo";7;1
"C0398112";"Marzo";7;0
"C0744892";"Abril";7;0
"C0415592";"Abril";10;0
"C0584390";"Marzo";9;0
"C0480218";"Abril";13;1
"C0750904";"Marzo";8;0
"C0038909";"Marzo";8;0
"C0156024";"Marzo";13;1
"C0177910";"Abril";6;0
"C0611245";"Abril";9;0
"C0095906";"Marzo";12;1
"C0969688";"Abril";11;1
"C0964252";"Abril";6;0
"C0437607";"Marzo";12;1
"C0550749";"Abril";6;1
"C0306969";"Marzo";6;0
"C0375643";"Marzo";5;0
"C0536535";"Marzo";7;0
"C0116278";"Abril";21;1
"C0709615";"Marzo";9;0
"C0194966";"Marzo";6;0
"C0541313";"Abril";5;0
"C0578082";"Marzo";7;0
"C0277828";"Marzo";6;0
"C0637666";"Marzo";5;0
"C0497429";"Marzo";12;1
"C0368131";"Marzo";6;0
"C0569793";"Marzo";18;1
"C0782042";"Abril";8;0
"C0622424";"Marzo";8;0
"C0187917";"Abril";3;0
"C0564510";"Marzo";4;0
"C0715695";"Marzo";7;0
"C0223307";"Abril";13;1
"C0474728";"Abril";6;0
"C0239501";"Marzo";7;0
"C0519787";"Abril";6;0
"C0657992";"Marzo";21;1
"C0881784";"Abril";6;1
"C0388309";"Marzo";12;1
"C0556420";"Marzo";8;0
"C0670378";"Abril";4;0
"C0032024";"Marzo";14;1
"C0384985";"Marzo";7;0
"C0364919";"Marzo";7;0
"C0711392";"Marzo";7;1
"C0018361";"Marzo";20;1
"C0813504";"Abril";6;0
"C0487650";"Marzo";6;0
"C0226389";"Marzo";20;1
"C0504470";"Marzo";11;1
"C0026853";"Marzo";7;1
"C0939388";"Abril";12;1
"C0895781";"Marzo";6;0
"C0236494";"Abril";8;0
"C0953207";"Marzo";8;0
"C0304885";"Marzo";7;0
"C0504583";"Marzo";8;0
"C0627828";"Abril";7;0
"C0480315";"Abril";6;1
"C0490533";"Marzo";7;1
"C0695148";"Marzo";12;1
"C0387359";"Abril";4;1
"C0053151";"Abril";12;1
"C0818584";"Marzo";10;0
"C0068748";"Marzo";7;1
"C0494372";"Marzo";7;0
"C0082175";"Abril";13;1
"C0134654";"Marzo";13;1
"C0672078";"Marzo";11;1
"C0365882";"Abril";10;0
"C0926175";"Abril";7;0
"C0959576";"Abril";9;0
"C0774375";"Marzo";4;0
"C0293105";"Marzo";10;0
"C0316906";"Marzo";20;1
"C0966475";"Marzo";6;1
"C0339437";"Marzo";4;0
"C0683151";"Marzo";6;1
"C0146382";"Abril";6;0
"C0022729";"Abril";12;1
"C0984947";"Marzo";6;0
"C0710107";"Marzo";13;1
"C0946895";"Marzo";12;1
"C0330324";"Marzo";6;1
"C0118681";"Abril";6;0
"C0086647";"Abril";5;0
"C0958642";"Marzo";8;0
"C0561172";"Abril";6;1
"C0745097";"Marzo";7;1
"C0763522";"Marzo";7;1
"C0987104";"Marzo";9;0
"C0810728";"Marzo";5;0
"C0490154";"Abril";20;1
"C0127761";"Marzo";6;0
"C0508598";"Marzo";12;1
"C0474412";"Marzo";8;0
"C0084107";"Marzo";4;0
"C0911748";"Abril";6;0
"C0433291";"Abril";14;1
"C0648085";"Abril";7;1
"C0821523";"Abril";8;0
"C0372261";"Marzo";8;0
"C0004778";"Abril";10;0
"C0717627";"Abril";10;0
"C0205323";"Marzo";5;0
"C0542698";"Abril";20;1
"C0845913";"Marzo";6;0
"C0141674";"Abril";6;0
"C0478347";"Abril";9;0
"C0418191";"Marzo";11;1
"C0605955";"Marzo";7;0
"C0946402";"Marzo";8;0
"C0563913";"Abril";6;0
"C0835999";"Marzo";23;1
"C0841538";"Marzo";7;0
"C0988357";"Marzo";6;0
"C0448057";"Marzo";7;1
"C0892770";"Abril";7;0
"C0690209";"Abril";5;0
"C0193465";"Abril";8;0
"C0043855";"Marzo";8;0
"C0950183";"Abril";13;1
"C0133288";"Marzo";18;1
"C0962097";"Marzo";8;0
"C0207135";"Abril";20;1
"C0581999";"Abril";11;1
"C0858804";"Abril";6;0
"C0524953";"Marzo";9;0
"C0359525";"Marzo";5;0
"C0326943";"Marzo";13;1
"C0979012";"Marzo";19;1
"C0379057";"Abril";7;0
"C0038767";"Abril";9;0
"C0531041";"Marzo";7;0
"C0600106";"Marzo";5;1
"C0315236";"Abril";8;0
"C0286561";"Marzo";9;0
"C0678882";"Marzo";6;0
"C0290861";"Marzo";6;0
"C0270105";"Abril";11;1
"C0627766";"Abril";8;0
"C0793029";"Abril";18;1
"C0046914";"Marzo";8;0
"C0251128";"Abril";5;0
"C0718724";"Abril";6;0
"C0957526";"Abril";20;1
"C0710983";"Marzo";6;1
"C0486075";"Marzo";9;0
"C0669493";"Marzo";6;0
"C0161746";"Marzo";13;1
"C0508974";"Abril";7;1
"C0311184";"Marzo";7;0
"C0756770";"Abril";22;1
"C0898857";"Marzo";8;0
"C0296695";"Marzo";6;0
"C0869491";"Marzo";11;1
"C0371221";"Marzo";9;0
"C0189869";"Marzo";7;1
"C0018798";"Abril";6;0
"C0320434";"Abril";8;0
"C0531869";"Marzo";6;0
"C0600915";"Abril";6;0
"C0292813";"Marzo";6;0
"C0464505";"Marzo";12;1
"C0050384";"Marzo";9;0
"C0177061";"Marzo";5;1
"C0652503";"Abril";6;0
"C0897870";"Abril";7;0
"C0430019";"Abril";5;1
"C0908674";"Abril";6;1
"C0462334";"Abril";7;0
"C0106571";"Marzo";4;0
"C0341307";"Abril";7;1
"C0119911";"Abril";12;1
"C0492940";"Marzo";5;0
"C0445088";"Marzo";5;0
"C0441128";"Abril";12;1
"C0740891";"Marzo";8;0
"C0043383";"Marzo";11;1
"C0308585";"Abril";6;0
"C0453355";"Marzo";5;0
"C0266816";"Marzo";14;1
"C0941935";"Marzo";22;1
"C0776492";"Marzo";14;1
"C0554075";"Marzo";6;1
"C0611568";"Marzo";20;1
"C0362148";"Abril";8;0
"C0472696";"Marzo";11;1
"C0165004";"Abril";5;0
"C0963419";"Marzo";12;1
"C0523496";"Marzo";4;0
"C0108063";"Abril";20;1
"C0234754";"Abril";8;0
"C0365318";"Marzo";7;0
"C0872903";"Abril";11;1
"C0744188";"Marzo";6;0
"C0523696";"Abril";7;1
"C0177005";"Abril";16;1
"C0215740";"Abril";18;1
"C0605366";"Abril";21;1
"C0879309";"Marzo";16;1
"C0577779";"Abril";2;0
"C0543046";"Abril";14;1
"C0664416";"Abril";8;0
"C0802046";"Abril";12;1
"C0374802";"Marzo";8;0
"C0170097";"Marzo";13;1
"C0586949";"Abril";7;0
"C0676584";"Abril";6;1
"C0968368";"Marzo";7;0
"C0806354";"Marzo";9;0
"C0207327";"Marzo";10;0
"C0466860";"Abril";20;1
"C0806866";"Marzo";14;1
"C0371565";"Marzo";7;0
"C0289021";"Marzo";11;1
"C0197956";"Marzo";5;0
"C0587378";"Marzo";12;1
"C0307416";"Marzo";5;0
"C0355872";"Abril";20;1
"C0544325";"Abril";10;0
"C0542362";"Abril";8;0
"C0038412";"Abril";22;1
"C0913746";"Abril";6;1
"C0199157";"Marzo";13;1
"C0063716";"Abril";9;0
"C0129793";"Abril";13;1
"C0880092";"Abril";7;0
"C0567526";"Abril";8;0
"C0624360";"Marzo";24;1
"C0556020";"Abril";7;0
"C0053763";"Abril";7;1
"C0624485";"Abril";20;1
"C0516028";"Marzo";8;0
"C0448842";"Marzo";6;0
"C0648953";"Abril";13;1
"C0484006";"Abril";12;1
"C0536066";"Marzo";10;1
"C0654329";"Abril";6;0
"C0836925";"Abril";4;0
"C0782117";"Marzo";8;0
"C0773681";"Abril";11;1
"C0895781";"Abril";14;1
"C0469304";"Abril";6;0
"C0800316";"Abril";16;1
"C0602480";"Abril";7;0
"C0592833";"Marzo";14;1
"C0265594";"Marzo";7;0
"C0192476";"Marzo";6;0
"C0544321";"Abril";7;0
"C0473210";"Marzo";8;0
"C0136804";"Marzo";7;0
"C0755393";"Marzo";18;1
"C0082445";"Marzo";11;1
"C0173325";"Abril";10;0
"C0512634";"Marzo";10;0
"C0603672";"Abril";12;1
"C0518412";"Marzo";6;0
"C0582937";"Marzo";10;0
"C0504778";"Marzo";8;0
"C0158225";"Abril";6;0
"C0412987";"Abril";18;1
"C0426115";"Marzo";8;0
"C0871436";"Abril";9;0
"C0760405";"Abril";7;1
"C0504354";"Marzo";9;0
"C0988652";"Marzo";7;0
"C0641886";"Marzo";8;0
"C0004957";"Abril";12;1
"C0821523";"Marzo";8;0
"C0313819";"Abril";9;0
"C0779845";"Marzo";8;0
"C0843118";"Marzo";14;1
"C0464912";"Abril";5;0
"C0688065";"Abril";21;1
"C0957216";"Marzo";16;1
"C0608523";"Abril";19;1
"C0748803";"Abril";8;0
"C0010230";"Abril";8;0
"C0380686";"Marzo";6;0
"C0445892";"Marzo";20;1
"C0882342";"Abril";21;1
"C0582292";"Abril";13;1
"C0691019";"Abril";7;1
"C0183051";"Abril";5;0
"C0015494";"Marzo";9;0
"C0873443";"Abril";9;0
"C0696534";"Marzo";11;1
"C0707693";"Abril";12;1
"C0764901";"Abril";9;0
"C0572060";"Abril";7;0
"C0745617";"Abril";8;0
"C0590049";"Marzo";10;0
"C0009443";"Abril";8;0
"C0521287";"Abril";5;0
"C0907779";"Marzo";7;1
"C0098852";"Abril";5;0
"C0776421";"Abril";6;1
"C0153815";"Marzo";8;0
"C0384238";"Marzo";8;0
"C0808044";"Abril";7;1
"C0649659";"Marzo";6;1
"C0612510";"Marzo";5;1
"C0084973";"Abril";7;0
"C0285220";"Marzo";7;1
"C0640473";"Abril";8;0
"C0517170";"Abril";5;0
"C0433578";"Abril";7;0
"C0826343";"Abril";8;0
"C0586768";"Marzo";21;1
"C0052868";"Abril";9;0
"C0675230";"Abril";12;1
"C0989055";"Marzo";12;1
"C0014106";"Abril";10;0
"C0049881";"Abril";12;1
"C0801239";"Abril";6;0
"C0510102";"Marzo";4;0
"C0330462";"Abril";19;1
"C0038657";"Marzo";13;1
"C0369324";"Marzo";20;1
"C0600381";"Abril";4;1
"C0458132";"Marzo";7;0
"C0974283";"Marzo";21;1
"C0701258";"Abril";12;1
"C0947581";"Abril";15;1
"C0942321";"Abril";7;1
"C0152071";"Marzo";5;1
"C0328876";"Abril";6;0
"C0696008";"Abril";9;0
"C0670747";"Marzo";9;0
"C0374084";"Marzo";7;0
"C0551127";"Marzo";12;1
"C0745617";"Marzo";4;0
"C0922726";"Abril";7;1
"C0838846";"Abril";6;0
"C0475986";"Marzo";6;0
"C0960353";"Abril";7;1
"C0700589";"Abril";7;0
"C0769895";"Marzo";9;0
"C0952639";"Abril";21;1
"C0609205";"Marzo";4;0
"C0177924";"Marzo";6;0
"C0677579";"Marzo";6;1
"C0118868";"Marzo";6;1
"C0585363";"Abril";4;0
"C0250935";"Abril";18;1
"C0643468";"Marzo";20;1
"C0835329";"Marzo";8;0
"C0914352";"Marzo";8;0
"C0097705";"Marzo";13;1
"C0570519";"Marzo";7;0
"C0651146";"Abril";5;0
"C0113272";"Marzo";12;1
"C0328876";"Marzo";5;0
"C0104838";"Abril";7;1
"C0021104";"Abril";8;0
"C0439609";"Abril";9;0
"C0619848";"Marzo";6;0
"C0935719";"Marzo";7;1
"C0364762";"Abril";4;0
"C0057776";"Marzo";6;0
"C0414576";"Abril";8;0
"C0458357";"Abril";11;1
"C0332994";"Marzo";7;0
"C0773168";"Abril";9;0
"C0113132";"Abril";8;0
"C0489338";"Abril";12;1
"C0203336";"Abril";7;0
"C0092388";"Marzo";22;1
"C0825403";"Abril";11;1
"C0423706";"Abril";6;0
"C0430540";"Abril";5;0
"C0525693";"Abril";7;0
"C0304933";"Marzo";6;0
"C0932383";"Abril";7;1
"C0605110";"Marzo";15;1
"C0345226";"Abril";6;0
"C0643685";"Marzo";8;0
"C0554884";"Marzo";9;0
"C0946267";"Abril";12;1
"C0823411";"Marzo";6;1
"C0837417";"Abril";9;0
"C0152991";"Abril";6;0
"C0736164";"Abril";6;0
"C0971044";"Abril";5;1
"C0369089";"Marzo";12;1
"C0864177";"Marzo";4;1
"C0163488";"Marzo";6;0
"C0645614";"Marzo";8;0
"C0446161";"Abril";8;0
"C0481234";"Marzo";7;0
"C0705963";"Abril";7;0
"C0953695";"Marzo";8;0
"C0114340";"Abril";9;0
"C0122773";"Marzo";5;0
"C0466397";"Abril";7;0
"C0649718";"Marzo";13;1
"C0740248";"Abril";21;1
"C0355019";"Marzo";7;0
"C0297376";"Marzo";12;1
"C0501820";"Marzo";14;1
"C0890625";"Marzo";19;1
"C0829137";"Marzo";22;1
"C0189281";"Abril";6;0
"C0717078";"Marzo";7;1
"C0555914";"Marzo";7;1
"C0722908";"Marzo";21;1
"C0365562";"Abril";6;1
"C0324746";"Marzo";8;0
"C0872692";"Abril";6;0
"C0265776";"Marzo";6;0
"C0262691";"Marzo";8;0
"C0579433";"Marzo";9;0
"C0707390";"Marzo";7;0
"C0850879";"Abril";6;0
"C0844223";"Marzo";8;0
"C0286561";"Abril";7;0
"C0024394";"Abril";20;1
"C0177669";"Marzo";8;0
"C0681900";"Abril";6;0
